Order_ID,Order_Date,Origin_City,Destination_City,Route_Type,Transportation_Mode,Product_Category,Base_Lead_Time_Days,Scheduled_Lead_Time_Days,Actual_Lead_Time_Days,Delay_Days,Delivery_Status,Disruption_Event,Geopolitical_Risk_Index,Weather_Severity_Index,Inflation_Rate_Pct,Shipping_Cost_USD,Order_Weight_Kg,Mitigation_Action_Taken,delay_ratio,total_risk_index,risk_level,reallocation_strategy,new_shipping_cost_usd,estimated_new_lead_time
ORD-88909D01,2025-03-11,"Hamburg, DE","New York, US",Atlantic,Sea,Perishable Foods,12,14,12,0,On Time,,0.11,1.5,5.88,2501.39,4507,Standard Shipping,0.0,0.126,Moderate,Maintain Current Route,2876.5984999999996,14.0
ORD-4CB1E7FD,2024-11-25,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Consumer Electronics,7,9,6,0,On Time,,0.31,4.9,3.23,2209.97,3374,Standard Shipping,0.0,0.382,Moderate,Maintain Current Route,2541.4655,9.0
ORD-BB2427A8,2025-09-03,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Perishable Foods,7,10,17,7,Late,Severe Weather (Typhoon/Storm),0.77,3.2,3.85,690.3,650,Standard Shipping,0.7,0.59,Moderate,Switch to Air (Express),5556.914999999999,4.0
ORD-4979D2B8,2025-03-23,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,21,17,0,On Time,,0.87,8.4,3.44,2897.57,3099,Standard Shipping,0.0,0.8580000000000001,High,Switch to Air (Priority),23325.4385,8.4
ORD-9141F2E9,2025-03-04,"Hamburg, DE","New York, US",Atlantic,Air,Semiconductors,2,4,2,0,On Time,,0.7,4.1,3.96,30742.8,3288,Standard Shipping,0.0,0.584,Moderate,Manual Review Required,35354.219999999994,4.0
ORD-589AD0E2,2025-10-19,"Hamburg, DE","New York, US",Atlantic,Sea,Semiconductors,12,14,12,0,On Time,,0.59,2.0,2.69,1160.7,1460,Standard Shipping,0.0,0.434,Moderate,Maintain Current Route,1334.8049999999998,14.0
ORD-0F2972D6,2025-07-24,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Pharmaceuticals,18,21,19,0,On Time,,0.22,3.1,4.5,3631.33,5953,Standard Shipping,0.0,0.256,Moderate,Maintain Current Route,4176.0295,21.0
ORD-28189C73,2025-08-29,"Tokyo, JP","Singapore, SG",Intra-Asia,Air,Pharmaceuticals,2,4,2,0,On Time,,0.54,4.7,3.43,19557.23,2309,Standard Shipping,0.0,0.512,Moderate,Manual Review Required,22490.814499999997,4.0
ORD-2F57A3C6,2025-08-22,"Shenzhen, CN","Rotterdam, NL",Suez,Air,Pharmaceuticals,3,5,21,16,Late,Geopolitical Conflict (Route Diversion),0.43,1.6,3.66,27993.12,1483,Expedited Air Freight,3.2,0.322,High,Switch to Air (Priority),225344.61599999998,2.0
ORD-F27C0335,2025-01-19,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Perishable Foods,28,31,29,0,On Time,,0.41,1.5,2.1,4829.25,6850,Standard Shipping,0.0,0.3059999999999999,High,Reroute via Atlantic/Cape,7219.72875,34.1
ORD-BD00D4DE,2025-08-09,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Consumer Electronics,28,29,28,0,On Time,,0.14,3.5,5.51,742.71,1303,Standard Shipping,0.0,0.224,High,Switch to Air (Priority),5978.8155,11.600000000000001
ORD-0660A71E,2025-08-26,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Perishable Foods,24,27,34,7,Late,Geopolitical Conflict (Route Diversion),0.36,3.0,3.72,8594.11,7899,Re-routing,0.2592592592592592,0.3359999999999999,High,Reroute via Atlantic/Cape,12848.19445,29.700000000000003
ORD-586A6FD5,2025-04-03,"Mumbai, IN","Felixstowe, UK",Suez,Air,Semiconductors,3,5,2,0,On Time,,0.22,5.2,4.29,19438.87,2897,Standard Shipping,0.0,0.34,High,Switch to Air (Priority),156482.90349999996,2.0
ORD-4AC19E22,2024-12-11,"Hamburg, DE","New York, US",Atlantic,Air,Pharmaceuticals,2,5,2,0,On Time,,0.54,0.3,2.3,10485.86,1238,Standard Shipping,0.0,0.336,Moderate,Manual Review Required,12058.739,5.0
ORD-962AA7AF,2024-07-08,"Santos, BR","Shanghai, CN",Commodity,Sea,Auto Parts,35,38,33,0,On Time,,0.46,7.5,4.19,648.97,889,Standard Shipping,0.0,0.5760000000000001,Moderate,Maintain Current Route,746.3154999999999,38.0
ORD-EC248C6F,2024-01-05,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Consumer Electronics,28,29,25,0,On Time,,0.27,8.8,4.11,5576.57,8782,Standard Shipping,0.0,0.514,High,Switch to Air (Priority),44891.388499999994,11.600000000000001
ORD-4C3397A3,2025-04-25,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Auto Parts,28,29,28,0,On Time,,0.53,8.7,2.26,5407.78,7069,Standard Shipping,0.0,0.6659999999999999,High,Reroute via Atlantic/Cape,8084.6311,31.900000000000002
ORD-A42A4213,2024-03-06,"Hamburg, DE","New York, US",Atlantic,Sea,Textiles,12,13,12,0,On Time,,0.9,8.1,4.36,7839.4,8252,Standard Shipping,0.0,0.8640000000000001,High,Switch to Air (Express),63107.17,5.2
ORD-EC714B6A,2024-03-30,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Consumer Electronics,24,27,24,0,On Time,,0.52,5.2,2.97,1570.92,2067,Standard Shipping,0.0,0.52,High,Switch to Air (Priority),12645.905999999999,10.8
ORD-5B309CD1,2024-08-14,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Perishable Foods,24,25,24,0,On Time,,0.8,6.5,3.74,1462.5,1625,Standard Shipping,0.0,0.74,High,Reroute via Atlantic/Cape,2186.4375,27.500000000000004
ORD-05E3E5EE,2025-09-29,"Hamburg, DE","New York, US",Atlantic,Sea,Pharmaceuticals,12,15,12,0,On Time,,0.38,1.6,2.75,376.05,545,Standard Shipping,0.0,0.292,Moderate,Maintain Current Route,432.4575,15.0
ORD-DC247DDF,2024-03-20,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Raw Materials,7,10,7,0,On Time,,0.54,5.7,3.85,3615.15,4695,Standard Shipping,0.0,0.552,Moderate,Maintain Current Route,4157.4225,10.0
ORD-54D456E1,2024-12-18,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Pharmaceuticals,28,30,28,0,On Time,,0.18,2.6,3.61,1340.48,2272,Standard Shipping,0.0,0.212,High,Switch to Air (Priority),10790.864,12.0
ORD-FAD88C94,2024-01-12,"Hamburg, DE","New York, US",Atlantic,Sea,Auto Parts,12,13,12,0,On Time,,0.62,1.1,3.64,2542.59,3139,Standard Shipping,0.0,0.416,Moderate,Maintain Current Route,2923.9785,13.0
ORD-CD46E977,2025-09-27,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Textiles,24,25,24,0,On Time,,0.23,2.6,3.59,3231.21,5254,Standard Shipping,0.0,0.242,High,Reroute via Atlantic/Cape,4830.65895,27.500000000000004
ORD-B8E7CF2F,2025-11-26,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,20,18,0,On Time,,0.15,2.4,4.33,202.4,352,Standard Shipping,0.0,0.186,Moderate,Maintain Current Route,232.76,20.0
ORD-C6A1071F,2025-06-19,"Mumbai, IN","Felixstowe, UK",Suez,Air,Semiconductors,3,6,3,0,On Time,,0.35,4.6,3.27,43354.58,5839,Standard Shipping,0.0,0.394,High,Switch to Air (Priority),349004.369,2.4000000000000004
ORD-B1DD487E,2025-01-18,"Santos, BR","Shanghai, CN",Commodity,Sea,Raw Materials,35,36,34,0,On Time,,0.59,5.9,2.66,4196.01,5278,Standard Shipping,0.0,0.59,Moderate,Maintain Current Route,4825.4115,36.0
ORD-78CE4FB4,2025-06-14,"Hamburg, DE","New York, US",Atlantic,Sea,Raw Materials,12,15,13,0,On Time,,0.65,9.2,5.15,6857.4,8312,Standard Shipping,0.0,0.758,High,Switch to Air (Express),55202.06999999999,6.0
ORD-641CDE8B,2024-09-04,"Hamburg, DE","New York, US",Atlantic,Sea,Textiles,12,13,18,5,Late,Port Congestion,0.8,2.8,5.53,7182.45,7255,Standard Shipping,0.3846153846153846,0.592,Moderate,Switch to Air (Express),57818.722499999996,5.2
ORD-3FCFD40A,2024-06-15,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Textiles,24,25,24,0,On Time,,0.36,9.0,3.43,4709.68,6926,Standard Shipping,0.0,0.576,High,Reroute via Atlantic/Cape,7040.9716,27.500000000000004
ORD-52349C2B,2024-11-07,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Textiles,7,8,7,0,On Time,,0.23,1.2,5.62,1195.56,1944,Standard Shipping,0.0,0.186,Moderate,Maintain Current Route,1374.8939999999998,8.0
ORD-1BD5CC16,2024-07-17,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,21,18,0,On Time,,0.12,5.8,3.63,2828.56,5051,Standard Shipping,0.0,0.304,Moderate,Maintain Current Route,3252.8439999999996,21.0
ORD-DE4611B5,2024-09-30,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Consumer Electronics,24,25,24,0,On Time,,0.72,1.8,2.78,3179.42,3697,Standard Shipping,0.0,0.504,High,Switch to Air (Priority),25594.331,10.0
ORD-4F7D5A42,2025-12-25,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,21,19,0,On Time,,0.81,7.9,4.8,5974.81,6602,Standard Shipping,0.0,0.802,High,Switch to Air (Express),48097.2205,8.4
ORD-0649FFF7,2024-10-07,"Shenzhen, CN","Rotterdam, NL",Suez,Air,Semiconductors,3,6,3,0,On Time,,0.87,1.4,2.05,45480.27,4422,Standard Shipping,0.0,0.5780000000000001,High,Switch to Air (Priority),366116.1734999999,2.4000000000000004
ORD-5449C469,2025-09-20,"Santos, BR","Shanghai, CN",Commodity,Air,Pharmaceuticals,4,5,5,0,On Time,,0.76,3.4,3.4,82492.96,8522,Standard Shipping,0.0,0.592,Moderate,Manual Review Required,94866.904,5.0
ORD-DA3A7093,2024-10-22,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Perishable Foods,7,8,7,0,On Time,,0.6,2.4,5.17,228.8,286,Standard Shipping,0.0,0.4559999999999999,Moderate,Maintain Current Route,263.12,8.0
ORD-2633E643,2025-08-05,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,19,20,1,Late,Unspecified/Other,0.67,3.6,3.39,5542.73,6638,Standard Shipping,0.0526315789473684,0.546,Moderate,Maintain Current Route,6374.139499999999,19.0
ORD-6ADF16F5,2025-02-05,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Pharmaceuticals,28,30,28,0,On Time,,0.39,6.4,2.47,4336.11,6239,Standard Shipping,0.0,0.49,High,Switch to Air (Priority),34905.68549999999,12.0
ORD-E5E3BEB8,2025-05-13,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Perishable Foods,7,10,6,0,On Time,,0.23,4.1,4.74,1954.47,3178,Standard Shipping,0.0,0.302,Moderate,Maintain Current Route,2247.6405,10.0
ORD-5889C6FF,2024-03-03,"Hamburg, DE","New York, US",Atlantic,Sea,Semiconductors,12,15,19,4,Late,Port Congestion,0.74,6.4,3.11,9747.05,6790,Expedited Air Freight,0.2666666666666666,0.7,High,Switch to Air (Priority),78463.75249999999,6.0
ORD-2AC5BAC3,2025-07-18,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,21,18,0,On Time,,0.9,0.2,2.02,1662.5,1750,Standard Shipping,0.0,0.548,Moderate,Maintain Current Route,1911.8749999999998,21.0
ORD-4B1C4A29,2024-09-24,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Perishable Foods,28,31,28,0,On Time,,0.86,3.8,4.75,772.83,831,Standard Shipping,0.0,0.668,High,Reroute via Atlantic/Cape,1155.38085,34.1
ORD-57E16182,2024-03-13,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Perishable Foods,7,8,8,0,On Time,,0.17,7.3,4.06,1064.12,1819,Standard Shipping,0.0,0.394,Moderate,Maintain Current Route,1223.7379999999998,8.0
ORD-C2A9725D,2025-03-11,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Pharmaceuticals,24,25,24,0,On Time,,0.23,2.9,4.46,1973.54,3209,Standard Shipping,0.0,0.254,High,Switch to Air (Priority),15886.997,10.0
ORD-F246B9A3,2025-02-24,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Textiles,7,9,7,0,On Time,,0.78,6.5,5.47,226.06,254,Standard Shipping,0.0,0.728,High,Switch to Air (Express),1819.783,3.6
ORD-776672D2,2024-08-17,"Hamburg, DE","New York, US",Atlantic,Sea,Textiles,12,15,12,0,On Time,,0.12,3.1,3.34,4791.92,8557,Standard Shipping,0.0,0.196,Moderate,Maintain Current Route,5510.708,15.0
ORD-3FEB78F2,2024-08-14,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Auto Parts,28,29,28,0,On Time,,0.77,0.6,3.41,116.82,132,Standard Shipping,0.0,0.486,High,Reroute via Atlantic/Cape,174.64589999999998,31.900000000000002
ORD-15745702,2024-12-24,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Auto Parts,24,27,24,0,On Time,,0.19,3.3,4.92,1292.34,2172,Standard Shipping,0.0,0.246,High,Reroute via Atlantic/Cape,1932.0482999999997,29.700000000000003
ORD-3E83737E,2024-04-22,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,19,18,0,On Time,,0.62,3.5,4.79,4081.59,5039,Standard Shipping,0.0,0.512,Moderate,Maintain Current Route,4693.8285,19.0
ORD-3DB21608,2025-11-14,"Hamburg, DE","New York, US",Atlantic,Sea,Semiconductors,12,13,12,0,On Time,,0.83,3.5,2.51,6926.55,7570,Standard Shipping,0.0,0.6379999999999999,Moderate,Maintain Current Route,7965.532499999999,13.0
ORD-ED7F314D,2025-05-18,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,20,24,4,Late,Port Congestion,0.7,2.3,3.06,4157.01,4446,Standard Shipping,0.2,0.512,Moderate,Switch to Air (Express),33463.9305,8.0
ORD-C8A6E953,2025-07-03,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Consumer Electronics,24,26,24,0,On Time,,0.42,1.8,3.13,5807.8,8180,Standard Shipping,0.0,0.324,High,Switch to Air (Priority),46752.78999999999,10.4
ORD-EF07685E,2025-07-13,"Hamburg, DE","New York, US",Atlantic,Sea,Auto Parts,12,14,12,0,On Time,,0.43,8.0,3.99,4172.74,5836,Standard Shipping,0.0,0.5780000000000001,Moderate,Maintain Current Route,4798.650999999999,14.0
ORD-8DBB6ACD,2025-03-27,"Hamburg, DE","New York, US",Atlantic,Sea,Auto Parts,12,15,12,0,On Time,,0.45,3.3,3.26,1587.75,2190,Standard Shipping,0.0,0.402,Moderate,Maintain Current Route,1825.9125,15.0
ORD-08C099F4,2024-08-31,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,20,18,0,On Time,,0.6,2.3,3.46,7224.8,9031,Standard Shipping,0.0,0.4519999999999999,Moderate,Maintain Current Route,8308.52,20.0
ORD-4167B623,2024-01-23,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Pharmaceuticals,28,30,28,0,On Time,,0.61,4.0,2.84,6121.22,7604,Standard Shipping,0.0,0.526,High,Switch to Air (Priority),49275.820999999996,12.0
ORD-CEF2BCCA,2025-10-23,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Raw Materials,7,9,7,0,On Time,,0.83,8.5,4.02,7506.66,8204,Standard Shipping,0.0,0.838,High,Switch to Air (Express),60428.613,3.6
ORD-8E87A6BB,2025-07-09,"Santos, BR","Shanghai, CN",Commodity,Sea,Perishable Foods,35,36,35,0,On Time,,0.15,4.0,3.85,3170.55,5514,Standard Shipping,0.0,0.25,Moderate,Maintain Current Route,3646.1324999999997,36.0
ORD-DF4D3749,2024-10-16,"Shenzhen, CN","Rotterdam, NL",Suez,Air,Semiconductors,3,6,3,0,On Time,,0.56,6.1,6.39,47807.76,5572,Standard Shipping,0.0,0.5800000000000001,High,Switch to Air (Priority),384852.468,2.4000000000000004
ORD-480D39F8,2024-10-12,"Hamburg, DE","New York, US",Atlantic,Sea,Perishable Foods,12,14,12,0,On Time,,0.61,6.6,3.39,2980.11,3702,Standard Shipping,0.0,0.63,Moderate,Maintain Current Route,3427.1265,14.0
ORD-97D6336F,2024-12-27,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Textiles,24,25,22,0,On Time,,0.32,6.3,1.82,5633.76,8536,Standard Shipping,0.0,0.444,High,Reroute via Atlantic/Cape,8422.4712,27.500000000000004
ORD-F76C7734,2024-11-26,"Shanghai, CN","Los Angeles, US",Pacific,Air,Pharmaceuticals,2,5,2,0,On Time,,0.22,9.7,3.05,11178.86,1666,Standard Shipping,0.0,0.52,Moderate,Manual Review Required,12855.689,5.0
ORD-42BA5874,2024-03-14,"Hamburg, DE","New York, US",Atlantic,Sea,Auto Parts,12,13,12,0,On Time,,0.55,7.1,3.23,1147.0,1480,Standard Shipping,0.0,0.614,Moderate,Maintain Current Route,1319.05,13.0
ORD-14786D3B,2024-11-08,"Santos, BR","Shanghai, CN",Commodity,Air,Pharmaceuticals,4,5,3,0,On Time,,0.14,5.5,4.41,43720.71,6973,Standard Shipping,0.0,0.304,Moderate,Manual Review Required,50278.81649999999,5.0
ORD-CFAA7C2E,2025-11-26,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Auto Parts,7,10,13,3,Late,Port Congestion,0.37,3.2,2.24,4288.17,5691,Standard Shipping,0.3,0.35,Moderate,Switch to Air (Express),34519.7685,4.0
ORD-02198048,2025-04-02,"Hamburg, DE","New York, US",Atlantic,Sea,Textiles,12,14,12,0,On Time,,0.61,1.3,5.49,564.3,701,Standard Shipping,0.0,0.418,Moderate,Maintain Current Route,648.9449999999999,14.0
ORD-0433062E,2025-03-09,"Hamburg, DE","New York, US",Atlantic,Sea,Perishable Foods,12,14,13,0,On Time,,0.51,7.3,3.98,3460.16,4583,Standard Shipping,0.0,0.598,Moderate,Maintain Current Route,3979.1839999999997,14.0
ORD-05657734,2025-01-25,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Auto Parts,24,26,24,0,On Time,,0.65,7.7,6.18,6961.35,8438,Standard Shipping,0.0,0.698,High,Reroute via Atlantic/Cape,10407.21825,28.6
ORD-4E7617D6,2025-11-07,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Consumer Electronics,24,27,24,0,On Time,,0.36,3.2,3.53,6706.16,9862,Standard Shipping,0.0,0.344,High,Switch to Air (Priority),53984.58799999999,10.8
ORD-BF142EDE,2024-04-03,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Textiles,24,27,26,0,On Time,,0.71,9.6,0.1,2527.38,2956,Standard Shipping,0.0,0.81,High,Reroute via Atlantic/Cape,3778.4331,29.700000000000003
ORD-BCEEA806,2024-11-29,"Tokyo, JP","Singapore, SG",Intra-Asia,Air,Pharmaceuticals,2,5,1,0,On Time,,0.12,2.4,4.17,22293.04,3619,Standard Shipping,0.0,0.1679999999999999,Moderate,Manual Review Required,25636.996,5.0
ORD-99823809,2025-01-31,"Hamburg, DE","New York, US",Atlantic,Air,Pharmaceuticals,2,3,3,0,On Time,,0.72,7.2,5.3,42891.64,4534,Standard Shipping,0.0,0.72,High,Manual Review Required,49325.386,3.0
ORD-817DFF49,2025-09-18,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Pharmaceuticals,28,30,29,0,On Time,,0.53,7.3,2.75,4989.33,6522,Standard Shipping,0.0,0.61,High,Switch to Air (Priority),40164.106499999994,12.0
ORD-A7729989,2025-08-08,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Auto Parts,28,31,28,0,On Time,,0.21,8.2,2.75,1487.09,2458,Standard Shipping,0.0,0.4539999999999999,High,Reroute via Atlantic/Cape,2223.19955,34.1
ORD-24A2830A,2025-11-07,"Santos, BR","Shanghai, CN",Commodity,Air,Pharmaceuticals,4,7,4,0,On Time,,0.73,9.4,4.06,44653.89,4693,Standard Shipping,0.0,0.8140000000000001,High,Manual Review Required,51351.97349999999,7.0
ORD-B2C02923,2025-04-14,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Auto Parts,28,31,28,0,On Time,,0.47,1.9,1.29,1614.06,2196,Standard Shipping,0.0,0.358,High,Reroute via Atlantic/Cape,2413.0197,34.1
ORD-86BEAFAD,2025-11-13,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,19,18,0,On Time,,0.83,9.6,4.97,7432.55,8123,Standard Shipping,0.0,0.8819999999999999,High,Switch to Air (Express),59832.0275,7.6000000000000005
ORD-D81A3126,2025-01-19,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Auto Parts,24,27,24,0,On Time,,0.22,3.2,4.96,4126.04,6764,Standard Shipping,0.0,0.26,High,Reroute via Atlantic/Cape,6168.4298,29.700000000000003
ORD-F12151A3,2024-11-08,"Santos, BR","Shanghai, CN",Commodity,Air,Pharmaceuticals,4,5,4,0,On Time,,0.57,7.0,3.35,50799.7,5883,Standard Shipping,0.0,0.622,Moderate,Manual Review Required,58419.65499999999,5.0
ORD-8B089865,2025-12-16,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Textiles,24,25,24,0,On Time,,0.44,4.3,1.04,1134.0,1575,Standard Shipping,0.0,0.436,High,Reroute via Atlantic/Cape,1695.33,27.500000000000004
ORD-EBDC1BED,2025-02-14,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Auto Parts,28,30,27,0,On Time,,0.53,8.7,0.69,2063.2,2697,Standard Shipping,0.0,0.6659999999999999,High,Reroute via Atlantic/Cape,3084.4839999999995,33.0
ORD-6DBE45C6,2024-07-22,"Santos, BR","Shanghai, CN",Commodity,Sea,Consumer Electronics,35,37,35,0,On Time,,0.6,4.4,5.02,4125.6,5157,Standard Shipping,0.0,0.536,Moderate,Maintain Current Route,4744.44,37.0
ORD-E0C2AA87,2025-10-20,"Tokyo, JP","Singapore, SG",Intra-Asia,Air,Pharmaceuticals,2,3,1,0,On Time,,0.7,3.5,3.76,18681.3,1998,Standard Shipping,0.0,0.56,Moderate,Manual Review Required,21483.495,3.0
ORD-D8D6E4C3,2024-11-25,"Santos, BR","Shanghai, CN",Commodity,Air,Pharmaceuticals,4,5,3,0,On Time,,0.25,9.5,2.81,49520.62,7203,Standard Shipping,0.0,0.53,Moderate,Manual Review Required,56948.712999999996,5.0
ORD-E565112F,2025-03-17,"Hamburg, DE","New York, US",Atlantic,Air,Semiconductors,2,3,2,0,On Time,,0.33,3.7,3.41,32932.13,4502,Standard Shipping,0.0,0.346,Moderate,Manual Review Required,37871.949499999995,3.0
ORD-472D41A1,2025-12-23,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,20,18,0,On Time,,0.89,1.1,2.56,7652.61,8098,Standard Shipping,0.0,0.5780000000000001,Moderate,Maintain Current Route,8800.501499999998,20.0
ORD-D33B0C0D,2025-01-10,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Pharmaceuticals,28,30,28,0,On Time,,0.14,7.0,3.55,5595.12,9816,Standard Shipping,0.0,0.364,High,Switch to Air (Priority),45040.71599999999,12.0
ORD-3D776B39,2025-02-05,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Textiles,7,10,7,0,On Time,,0.38,8.3,2.06,5365.44,7776,Standard Shipping,0.0,0.56,Moderate,Maintain Current Route,6170.255999999999,10.0
ORD-689C3DF0,2025-02-09,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Perishable Foods,7,8,7,0,On Time,,0.13,5.9,3.82,2803.53,4962,Standard Shipping,0.0,0.314,Moderate,Maintain Current Route,3224.0595,8.0
ORD-63BA676A,2025-09-20,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Pharmaceuticals,18,19,27,8,Late,Severe Weather (Typhoon/Storm),0.74,8.0,4.06,10066.25,6428,Expedited Air Freight,0.4210526315789473,0.764,High,Switch to Air (Priority),81033.3125,7.6000000000000005
